x,y,metatile,quad,mt_x,mt_y,tile_id,tile_local,pal,raw_tilespng_x,raw_tilespng_y,cur_idx
68,6,4,NW,4,6,0x201,1,8,12,6,14
69,6,4,NW,5,6,0x201,1,8,13,6,13
70,6,4,NW,6,6,0x201,1,8,14,6,12
71,6,4,NW,7,6,0x201,1,8,15,6,12
72,6,4,NE,8,6,0x202,2,8,16,6,12
73,6,4,NE,9,6,0x202,2,8,17,6,12
74,6,4,NE,10,6,0x202,2,8,18,6,12
75,6,4,NE,11,6,0x202,2,8,19,6,12
76,6,4,NE,12,6,0x202,2,8,20,6,12
77,6,4,NE,13,6,0x202,2,8,21,6,12
78,6,4,NE,14,6,0x202,2,8,22,6,12
79,6,4,NE,15,6,0x202,2,8,23,6,12
80,6,5,NW,0,6,0x203,3,8,24,6,12
81,6,5,NW,1,6,0x203,3,8,25,6,12
82,6,5,NW,2,6,0x203,3,8,26,6,12
83,6,5,NW,3,6,0x203,3,8,27,6,12
84,6,5,NW,4,6,0x203,3,8,28,6,12
85,6,5,NW,5,6,0x203,3,8,29,6,12
86,6,5,NW,6,6,0x203,3,8,30,6,12
87,6,5,NW,7,6,0x203,3,8,31,6,13
88,6,5,NE,8,6,0x204,4,8,32,6,13
89,6,5,NE,9,6,0x204,4,8,33,6,13
90,6,5,NE,10,6,0x204,4,8,34,6,13
91,6,5,NE,11,6,0x204,4,8,35,6,14
60,8,3,SE,12,8,0x206,6,8,52,0,14
61,8,3,SE,13,8,0x206,6,8,53,0,14
62,8,3,SE,14,8,0x206,6,8,54,0,13
63,8,3,SE,15,8,0x206,6,8,55,0,13
64,8,4,SW,0,8,0x207,7,8,56,0,12
65,8,4,SW,1,8,0x207,7,8,57,0,12
66,8,4,SW,2,8,0x207,7,8,58,0,12
68,8,4,SW,4,8,0x207,7,8,60,0,10
69,8,4,SW,5,8,0x207,7,8,61,0,10
70,8,4,SW,6,8,0x207,7,8,62,0,10
71,8,4,SW,7,8,0x207,7,8,63,0,10
72,8,4,SE,8,8,0x208,8,8,64,0,10
73,8,4,SE,9,8,0x208,8,8,65,0,10
74,8,4,SE,10,8,0x208,8,8,66,0,10
75,8,4,SE,11,8,0x208,8,8,67,0,10
76,8,4,SE,12,8,0x208,8,8,68,0,10
77,8,4,SE,13,8,0x208,8,8,69,0,10
78,8,4,SE,14,8,0x208,8,8,70,0,10
79,8,4,SE,15,8,0x208,8,8,71,0,10
80,8,5,SW,0,8,0x209,9,8,72,0,10
81,8,5,SW,1,8,0x209,9,8,73,0,10
82,8,5,SW,2,8,0x209,9,8,74,0,10
83,8,5,SW,3,8,0x209,9,8,75,0,10
84,8,5,SW,4,8,0x209,9,8,76,0,10
85,8,5,SW,5,8,0x209,9,8,77,0,10
86,8,5,SW,6,8,0x209,9,8,78,0,10
87,8,5,SW,7,8,0x209,9,8,79,0,10
88,8,5,SE,8,8,0x20a,10,8,80,0,10
89,8,5,SE,9,8,0x20a,10,8,81,0,10
90,8,5,SE,10,8,0x20a,10,8,82,0,10
91,8,5,SE,11,8,0x20a,10,8,83,0,10
93,8,5,SE,13,8,0x20a,10,8,85,0,12
94,8,5,SE,14,8,0x20a,10,8,86,0,12
95,8,5,SE,15,8,0x20a,10,8,87,0,12
96,8,6,SW,0,8,0x20b,11,8,88,0,13
97,8,6,SW,1,8,0x20b,11,8,89,0,13
98,8,6,SW,2,8,0x20b,11,8,90,0,13
99,8,6,SW,3,8,0x20b,11,8,91,0,14
67,9,4,SW,3,9,0x207,7,8,59,1,10
68,9,4,SW,4,9,0x207,7,8,60,1,10
76,9,4,SE,12,9,0x208,8,8,68,1,10
83,9,5,SW,3,9,0x209,9,8,75,1,10
